year,Cusco_T
1963,12.75
1964,12.72084806
1965,12.95577131
1966,13.45410628
1967,13.24427481
1968,13.27823691
1969,14.21146953
1973,14.40316477
1974,14.13769598
1975,12.15473949
1976,10.86672738
1977,11.08828006
1978,11.07153729
1979,11.44260282
1980,11.2431694
1981,10.81586303
1982,11.26611418
1983,12.81430746
1984,11.58925319
1985,11.14635784
1986,11.6210492
1987,12.42608154
1988,12.24961948
1989,11.64079148
1990,11.78436911
1991,12.02686203
1992,12.41758242
1993,11.91324201
1994,12.40030441
1995,13.00913242
1996,12.191864
1997,12.30593607
1998,13.33333333
1999,12.22527473
2000,12.2891933
2001,12.05631659
2002,11.78082192
2003,11.96581197
2004,11.89131755
2005,12.25418569
2006,11.96347032
2007,12.07458143
2008,11.92319369
2009,12.23439878
2010,12.75190259
2011,12.23896499
2012,12.05221615
2013,11.93607306
2014,12.14764079
2015,12.28197674
2016,12.7003643
2017,12.33789954
2018,11.96843083
2019,12.05923589
2020,15.34304797
2021,13.93186004
2022,13.42387968
2023,13.77442002
