Year,Lapaz
1952,7.854186565
1953,7.866300366
1954,7.379859198
1955,7.680012415
1958,8.255919854
1959,7.918209877
1960,7.5667881
1961,7.692541857
1962,7.966101695
1973,8.082822086
1974,7.761243386
1975,7.725988701
1976,7.514459665
1977,7.551270279
1978,6.864535769
1979,6.689623508
1980,7.052469136
1981,6.99382716
1982,7.00308642
1983,7.940454266
1984,6.752372207
1985,6.719939117
1986,6.591880342
1987,7.564102564
1988,7.205525197
1989,6.948249619
1990,7.024793388
1991,7.210045662
1992,7.308164518
1993,7.098934551
1994,7.165905632
1995,7.540334855
1996,6.775956284
1997,7.246575342
1998,8.295281583
1999,6.836080586
2000,6.841704718
2001,7.112633181
2002,7.587519026
2003,7.640036731
2004,7.704918033
2005,7.158295282
2006,7.060882801
2007,7.146118721
2008,6.819975713
2009,7.283105023
2010,7.875190259
2011,7.245053272
2012,7.389192471
2013,7.779308234
2014,7.918579737
2015,7.900516796
2016,8.296903461
2017,7.928462709
2018,7.45965239
2019,7.584998247
2020,8.081360049
2021,7.861189802
2022,7.560121766
2023,8.377473364
