Date,Year,Month,Day,0m,3m,6m,9m,12m,15m,18m,21m,24m,27m
8/21/2017,2017,8,21,9.238,8.891,8.394,8.145,8.045,8.02,7.945,7.92,7.92,7.945
8/21/2017,2017,8,21,9.558,8.891,8.394,8.145,8.045,8.02,7.945,7.92,7.895,7.92
8/21/2017,2017,8,21,9.163,8.717,8.394,8.27,8.07,7.995,7.945,7.92,7.895,7.92
8/21/2017,2017,8,21,8.99,8.891,8.543,8.444,8.12,7.995,7.945,7.895,7.895,7.92
8/21/2017,2017,8,21,8.568,8.593,8.519,8.469,8.245,7.995,7.97,7.895,7.895,7.92
8/21/2017,2017,8,21,8.543,8.568,8.519,8.494,8.145,7.995,7.945,7.895,7.895,7.92
8/21/2017,2017,8,21,8.519,8.543,8.494,8.444,8.095,7.995,7.945,7.895,7.895,7.92
8/21/2017,2017,8,21,8.494,8.519,8.444,8.444,8.22,8.045,8.02,7.945,7.945,7.945
8/21/2017,2017,8,21,8.469,8.494,8.444,8.444,8.394,8.07,8.045,7.995,8.02,7.995
8/21/2017,2017,8,21,8.494,8.593,8.494,8.444,8.095,8.02,7.995,7.97,7.97,7.995
8/22/2017,2017,8,22,8.643,8.668,8.543,8.394,8.045,7.995,7.97,7.945,7.945,7.97
8/22/2017,2017,8,22,8.618,8.643,8.543,8.394,8.07,7.97,7.97,7.92,7.92,7.945
8/22/2017,2017,8,22,8.593,8.643,8.543,8.095,8.045,7.97,7.945,7.92,7.92,7.945
8/22/2017,2017,8,22,8.643,8.643,8.519,8.07,7.995,7.945,7.92,7.895,7.895,7.945
8/22/2017,2017,8,22,8.568,8.593,8.543,8.07,7.995,7.945,7.92,7.87,7.895,7.945
8/22/2017,2017,8,22,8.543,8.568,8.319,8.07,8.095,7.97,7.945,7.895,7.895,7.945
8/22/2017,2017,8,22,8.469,8.494,8.344,8.12,8.07,8.045,7.97,7.895,7.92,7.945
8/22/2017,2017,8,22,8.344,8.394,8.319,8.17,8.07,8.045,7.97,7.92,7.92,7.945
