Date,Year,Month,Day,0m,2.4m,4.9m,7.3m,9.8m,12.2m,14.6m,17.1m,19.5m,21.9m
8/30/2016,2016,8,30,7.97,8.045,7.97,7.995,8.045,7.97,7.945,7.945,7.87,7.87
8/30/2016,2016,8,30,7.97,8.045,7.995,7.995,8.045,7.97,7.92,7.92,7.895,7.87
8/30/2016,2016,8,30,7.945,8.02,7.97,7.97,8.02,7.97,7.945,7.92,7.92,7.895
8/30/2016,2016,8,30,7.945,8.02,7.945,7.945,7.995,7.895,7.87,7.87,7.895,7.87
8/30/2016,2016,8,30,7.92,7.995,7.945,7.945,7.97,7.945,7.92,7.92,7.92,7.895
8/30/2016,2016,8,30,7.945,7.995,7.92,7.945,7.995,7.945,7.92,7.92,7.945,7.895
8/30/2016,2016,8,30,7.92,7.97,7.92,7.945,7.97,7.92,7.895,7.92,7.945,7.92
8/30/2016,2016,8,30,7.92,7.97,7.92,7.92,7.97,7.895,7.895,7.895,7.92,7.895
8/30/2016,2016,8,30,7.945,7.97,7.92,7.945,7.97,7.92,7.895,7.92,7.945,7.87
8/30/2016,2016,8,30,8.07,8.02,7.92,7.945,7.97,7.92,7.895,7.92,7.945,7.895
8/30/2016,2016,8,30,8.095,8.045,7.97,7.97,7.995,7.945,7.92,7.92,7.945,7.92
8/30/2016,2016,8,30,8.27,8.095,8.045,7.995,8.02,7.945,7.92,7.92,7.945,7.92
8/30/2016,2016,8,30,8.693,8.145,8.12,8.045,8.07,7.97,7.945,7.92,7.945,7.92
8/30/2016,2016,8,30,8.593,8.17,8.145,8.07,8.07,7.97,7.945,7.92,7.945,7.92
8/30/2016,2016,8,30,8.519,8.145,8.045,8.02,8.02,7.945,7.895,7.92,7.945,7.92
8/30/2016,2016,8,30,8.543,8.145,8.07,7.995,8.02,7.945,7.895,7.92,7.945,7.92
8/30/2016,2016,8,30,8.494,8.17,8.045,7.995,7.995,7.92,7.895,7.92,7.92,7.92
8/30/2016,2016,8,30,8.394,8.369,8.095,7.995,7.995,7.92,7.895,7.895,7.92,7.92
8/30/2016,2016,8,30,8.27,8.295,8.195,8.045,8.02,7.945,7.895,7.895,7.92,7.92
8/30/2016,2016,8,30,8.195,8.245,8.17,8.045,8.02,7.92,7.895,7.895,7.92,7.92
8/30/2016,2016,8,30,8.145,8.195,8.12,8.145,8.045,7.945,7.895,7.895,7.92,7.92
8/30/2016,2016,8,30,8.145,8.195,8.145,8.145,8.095,7.995,7.92,7.92,7.92,7.92
8/30/2016,2016,8,30,8.095,8.17,8.12,8.12,8.045,7.945,7.945,7.92,7.92,7.92
8/30/2016,2016,8,30,8.095,8.145,8.095,8.095,8.045,7.97,7.945,7.92,7.92,7.92
8/31/2016,2016,8,31,8.095,8.145,8.07,7.995,8.045,7.945,7.92,7.92,7.92,7.92
8/31/2016,2016,8,31,8.07,8.12,8.07,7.995,8.02,7.97,7.895,7.895,7.92,7.895
8/31/2016,2016,8,31,8.045,8.095,8.02,7.97,8.02,7.945,7.895,7.895,7.895,7.895
8/31/2016,2016,8,31,8.045,8.095,8.02,7.97,7.995,7.945,7.895,7.87,7.87,7.82
8/31/2016,2016,8,31,8.02,8.07,7.995,7.945,7.995,7.92,7.87,7.87,7.895,7.82
8/31/2016,2016,8,31,7.945,8.045,7.97,7.97,7.995,7.945,7.895,7.87,7.895,7.82
8/31/2016,2016,8,31,7.97,8.02,7.945,7.97,7.97,7.87,7.845,7.87,7.845,7.82
8/31/2016,2016,8,31,7.945,8.02,7.945,7.97,7.945,7.845,7.845,7.82,7.82,7.795
8/31/2016,2016,8,31,8.095,8.07,7.97,7.995,7.995,7.92,7.87,7.87,7.845,7.795
8/31/2016,2016,8,31,8.319,8.195,8.045,8.045,8.045,7.945,7.87,7.82,7.82,7.795
8/31/2016,2016,8,31,8.668,8.27,8.095,8.12,8.07,7.92,7.895,7.87,7.82,7.795
8/31/2016,2016,8,31,8.643,8.245,8.145,8.145,8.095,7.945,7.92,7.87,7.845,7.82
8/31/2016,2016,8,31,9.015,8.245,8.145,8.17,8.045,7.945,7.92,7.845,7.845,7.82
8/31/2016,2016,8,31,8.841,8.17,8.12,7.995,8.045,7.945,7.895,7.845,7.845,7.82
8/31/2016,2016,8,31,8.643,8.12,8.07,7.97,8.02,7.92,7.87,7.845,7.845,7.82
8/31/2016,2016,8,31,8.717,8.195,8.12,7.995,8.02,7.92,7.845,7.845,7.845,7.845
8/31/2016,2016,8,31,8.618,8.145,8.045,7.97,7.995,7.845,7.795,7.82,7.845,7.82
8/31/2016,2016,8,31,8.344,8.22,8.045,7.97,7.97,7.82,7.795,7.795,7.82,7.795
