system:time_start,probability
"Sep 3, 2015",0
"Sep 3, 2015",0
"Sep 3, 2015",0
"Sep 3, 2015",0
"Sep 3, 2015",0
"Sep 3, 2015",0
"Oct 20, 2015",
"Oct 20, 2015",
"Oct 20, 2015",
"Oct 20, 2015",
"Dec 2, 2015",90.022
"Dec 2, 2015",92.663
"Dec 2, 2015",90.022
"Dec 2, 2015",92.739
"Dec 2, 2015",90.001
"Dec 2, 2015",92.714
"Dec 9, 2015",
"Dec 9, 2015",
"Dec 9, 2015",
"Dec 19, 2015",
"Dec 19, 2015",
"Jan 1, 2016",99.6
"Jan 1, 2016",99.613
"Jan 1, 2016",99.599
"Jan 1, 2016",99.613
"Jan 8, 2016",
"Jan 8, 2016",
"Jan 18, 2016",
"Jan 18, 2016",
"Feb 17, 2016",
"Feb 17, 2016",
"Mar 1, 2016",86.213
"Mar 1, 2016",87.85
"Mar 1, 2016",86.213
"Mar 1, 2016",87.85
"Mar 18, 2016",
"Mar 18, 2016",
"Mar 31, 2016",28.373
"Mar 31, 2016",32.344
"Mar 31, 2016",28.163
"Mar 31, 2016",32.344
"Apr 17, 2016",
"Apr 17, 2016",
"May 10, 2016",16.353
"May 10, 2016",17.499
"May 10, 2016",
"May 10, 2016",16.353
"May 10, 2016",17.499
"May 10, 2016",
"May 17, 2016",
"May 17, 2016",
"May 30, 2016",22.577
"May 30, 2016",24.375
"May 30, 2016",22.577
"May 30, 2016",24.332
"Jun 6, 2016",
"Jun 6, 2016",
"Jun 19, 2016",5.077
"Jun 19, 2016",5.08
"Jun 19, 2016",5.077
"Jun 19, 2016",5.08
"Jun 26, 2016",
"Jun 26, 2016",
"Jul 9, 2016",7.219
"Jul 9, 2016",7.451
"Jul 9, 2016",7.219
"Jul 9, 2016",7.451
"Jul 16, 2016",
"Jul 16, 2016",
"Jul 29, 2016",19.103
"Jul 29, 2016",20.182
"Jul 29, 2016",19.103
"Jul 29, 2016",20.182
"Aug 5, 2016",
"Aug 5, 2016",
"Aug 18, 2016",5.589
"Aug 18, 2016",5.637
"Aug 18, 2016",5.589
"Aug 18, 2016",5.637
"Aug 25, 2016",
"Aug 25, 2016",
"Sep 7, 2016",9.607
"Sep 7, 2016",10.398
"Sep 7, 2016",9.607
"Sep 7, 2016",10.398
"Sep 14, 2016",
"Sep 14, 2016",
"Sep 17, 2016",3.766
"Sep 17, 2016",3.784
"Sep 17, 2016",3.766
"Sep 17, 2016",3.784
"Sep 27, 2016",15.395
"Sep 27, 2016",17.264
"Sep 27, 2016",15.395
"Sep 27, 2016",17.264
"Oct 4, 2016",
"Oct 4, 2016",
"Oct 17, 2016",81.808
"Oct 17, 2016",79.848
"Oct 17, 2016",81.808
"Oct 17, 2016",79.692
"Oct 24, 2016",
"Oct 24, 2016",
"Nov 6, 2016",5.857
"Nov 6, 2016",5.857
"Nov 6, 2016",5.98
"Nov 13, 2016",
"Nov 13, 2016",
"Nov 16, 2016",13.103
"Nov 16, 2016",14.862
"Nov 16, 2016",13.103
"Nov 16, 2016",14.816
"Nov 23, 2016",
"Nov 23, 2016",
"Nov 26, 2016",73.843
"Nov 26, 2016",71.414
"Nov 26, 2016",73.843
"Nov 26, 2016",71.414
"Dec 3, 2016",
"Dec 3, 2016",
"Dec 16, 2016",3.936
"Dec 16, 2016",3.783
"Dec 23, 2016",
"Dec 26, 2016",100
"Dec 26, 2016",100
"Jan 2, 2017",
"Jan 5, 2017",96.073
"Jan 5, 2017",95.863
"Jan 12, 2017",
"Jan 25, 2017",84.289
"Jan 25, 2017",90.876
"Jan 25, 2017",
"Jan 25, 2017",
"Feb 1, 2017",
"Feb 4, 2017",12.681
"Feb 4, 2017",14.419
