system:time_start,probability
"Sep 3, 2015",0
"Sep 3, 2015",0
"Sep 3, 2015",0
"Dec 2, 2015",84.878
"Dec 2, 2015",84.878
"Dec 2, 2015",84.823
"Jan 1, 2016",99.158
"Jan 1, 2016",99.154
"Mar 1, 2016",75.822
"Mar 1, 2016",75.822
"Mar 31, 2016",52.581
"Mar 31, 2016",52.212
"May 10, 2016",28.132
"May 10, 2016",
"May 10, 2016",28.132
"May 10, 2016",
"May 30, 2016",1.563
"May 30, 2016",1.563
"Jun 19, 2016",0.823
"Jun 19, 2016",0.823
"Jul 9, 2016",1.989
"Jul 9, 2016",1.989
"Jul 29, 2016",1.7
"Jul 29, 2016",1.7
"Aug 18, 2016",1.229
"Aug 18, 2016",1.229
"Sep 7, 2016",21.963
"Sep 7, 2016",21.963
"Sep 17, 2016",4.262
"Sep 17, 2016",4.262
"Sep 27, 2016",6.364
"Sep 27, 2016",6.364
"Oct 17, 2016",93.326
"Oct 17, 2016",93.326
"Nov 6, 2016",4.636
"Nov 6, 2016",4.636
"Nov 16, 2016",9.582
"Nov 16, 2016",9.582
"Nov 26, 2016",96.867
"Nov 26, 2016",96.867
"Dec 16, 2016",8.824
"Dec 26, 2016",100
"Jan 5, 2017",100
"Jan 25, 2017",75.431
"Jan 25, 2017",
"Feb 4, 2017",4.186
"Feb 14, 2017",5.501
"Mar 6, 2017",35.918
"Mar 26, 2017",70.343
"Apr 15, 2017",26.471
"May 5, 2017",26.344
"May 25, 2017",99.531
"Jun 14, 2017",0.874
"Jun 29, 2017",0.854
"Jul 4, 2017",1.211
"Jul 19, 2017",1.755
"Jul 24, 2017",1.878
"Aug 8, 2017",1.332
"Aug 13, 2017",1.849
"Sep 2, 2017",40.987
"Sep 17, 2017",87.535
"Sep 22, 2017",94.271
"Oct 2, 2017",6.167
"Oct 7, 2017",49.685
"Oct 12, 2017",22.802
"Oct 27, 2017",37.921
"Nov 1, 2017",99.806
"Nov 16, 2017",11.551
"Nov 16, 2017",
"Nov 21, 2017",9.313
"Nov 26, 2017",99.886
"Dec 6, 2017",78.005
"Dec 11, 2017",15.566
"Dec 16, 2017",4.184
"Dec 26, 2017",89.458
"Dec 31, 2017",41.98
"Jan 5, 2018",1.514
"Jan 15, 2018",98.74
"Jan 20, 2018",87.722
"Jan 25, 2018",69.669
"Feb 4, 2018",99.716
"Feb 9, 2018",92.782
"Feb 14, 2018",23.561
"Feb 19, 2018",91.452
"Feb 24, 2018",74.728
"Mar 1, 2018",100
"Mar 6, 2018",85.542
"Mar 11, 2018",20.822
"Mar 16, 2018",100
"Mar 21, 2018",65.98
"Mar 26, 2018",9.242
"Mar 31, 2018",1.722
"Apr 5, 2018",6.316
"Apr 10, 2018",81.813
"Apr 15, 2018",2.011
"Apr 20, 2018",60.794
"Apr 25, 2018",3.634
"Apr 30, 2018",11.056
"May 5, 2018",33.029
"May 10, 2018",1.819
"May 15, 2018",54.473
"May 20, 2018",0.732
"May 25, 2018",0.775
"May 30, 2018",1.123
"Jun 4, 2018",70.615
"Jun 9, 2018",78.455
"Jun 14, 2018",5.075
"Jun 19, 2018",2.728
"Jun 24, 2018",1.008
"Jun 29, 2018",0.843
"Jul 4, 2018",1.473
"Jul 9, 2018",6.034
"Jul 14, 2018",40.109
"Jul 19, 2018",77.015
"Jul 24, 2018",2.865
"Aug 3, 2018",84.87
"Aug 8, 2018",30.23
"Aug 13, 2018",4.301
"Aug 18, 2018",4.427
"Aug 23, 2018",1.057
"Aug 28, 2018",1.856
"Sep 2, 2018",2.677
"Sep 7, 2018",47.309
"Sep 12, 2018",2.322
"Sep 17, 2018",10.776
"Sep 22, 2018",96.99
"Sep 27, 2018",4.704
