system:time_start,probability
"Sep 3, 2015",0
"Sep 3, 2015",0
"Sep 3, 2015",0
"Dec 2, 2015",73.013
"Dec 2, 2015",73.013
"Dec 2, 2015",73.047
"Jan 1, 2016",98.498
"Jan 1, 2016",98.496
"Mar 1, 2016",83.269
"Mar 1, 2016",83.269
"Mar 31, 2016",41.416
"Mar 31, 2016",41.113
"May 10, 2016",8.696
"May 10, 2016",
"May 10, 2016",8.696
"May 10, 2016",
"May 30, 2016",1.846
"May 30, 2016",1.846
"Jun 19, 2016",1.331
"Jun 19, 2016",1.331
"Jul 9, 2016",4.325
"Jul 9, 2016",4.325
"Jul 29, 2016",1.15
"Jul 29, 2016",1.15
"Aug 18, 2016",1.75
"Aug 18, 2016",1.75
"Sep 7, 2016",28.481
"Sep 7, 2016",28.481
"Sep 17, 2016",1.74
"Sep 17, 2016",1.74
"Sep 27, 2016",3.305
"Sep 27, 2016",3.305
"Oct 17, 2016",96.417
"Oct 17, 2016",96.417
"Nov 6, 2016",2.005
"Nov 6, 2016",2.005
"Nov 16, 2016",5.83
"Nov 16, 2016",5.83
"Nov 26, 2016",98.206
"Nov 26, 2016",98.206
"Dec 16, 2016",2.91
"Dec 26, 2016",100
"Jan 5, 2017",100
"Jan 25, 2017",64.626
"Jan 25, 2017",
"Feb 4, 2017",2.534
"Feb 14, 2017",2.302
"Mar 6, 2017",62.902
"Mar 26, 2017",81.296
"Apr 15, 2017",28.966
"May 5, 2017",20.988
"May 25, 2017",99.376
"Jun 14, 2017",0.958
"Jun 29, 2017",1.236
"Jul 4, 2017",2.705
"Jul 19, 2017",2.812
"Jul 24, 2017",1.751
"Aug 8, 2017",1.776
"Aug 13, 2017",1.423
"Sep 2, 2017",17.018
"Sep 17, 2017",91.811
"Sep 22, 2017",93.929
"Oct 2, 2017",1.846
"Oct 7, 2017",73.768
"Oct 12, 2017",52.862
"Oct 27, 2017",29.009
"Nov 1, 2017",99.86
"Nov 16, 2017",5.052
"Nov 16, 2017",
"Nov 21, 2017",3.389
"Nov 26, 2017",99.789
"Dec 6, 2017",82.872
"Dec 11, 2017",11.292
"Dec 16, 2017",1.971
"Dec 26, 2017",92.729
"Dec 31, 2017",25.308
"Jan 5, 2018",21.727
"Jan 15, 2018",99.051
"Jan 20, 2018",83.337
"Jan 25, 2018",59.367
"Feb 4, 2018",99.819
"Feb 9, 2018",92.276
"Feb 14, 2018",16.833
"Feb 19, 2018",94.908
"Feb 24, 2018",74.892
"Mar 1, 2018",100
"Mar 6, 2018",91.58
"Mar 11, 2018",18.176
"Mar 16, 2018",99.668
"Mar 21, 2018",58.192
"Mar 26, 2018",30.916
"Mar 31, 2018",2.422
"Apr 5, 2018",23.796
"Apr 10, 2018",81.861
"Apr 15, 2018",1.635
"Apr 20, 2018",37.67
"Apr 25, 2018",8.388
"Apr 30, 2018",23.793
"May 5, 2018",35.637
"May 10, 2018",1.738
"May 15, 2018",32.83
"May 20, 2018",1.036
"May 25, 2018",1.454
"May 30, 2018",1.479
"Jun 4, 2018",75.992
"Jun 9, 2018",49.23
"Jun 14, 2018",5.002
"Jun 19, 2018",2.607
"Jun 24, 2018",1.981
"Jun 29, 2018",1.277
"Jul 4, 2018",2.187
"Jul 9, 2018",14.672
"Jul 14, 2018",45.268
"Jul 19, 2018",65.002
"Jul 24, 2018",5.15
"Aug 3, 2018",66.82
"Aug 8, 2018",23.48
"Aug 13, 2018",9.917
"Aug 18, 2018",11.296
"Aug 23, 2018",1.858
"Aug 28, 2018",2.068
"Sep 2, 2018",1.221
"Sep 7, 2018",56.066
"Sep 12, 2018",6.373
"Sep 17, 2018",6.385
"Sep 22, 2018",95.997
"Sep 27, 2018",8.62
