depth,area
0,2836.527214
1,2733.562177
2,2628.98983
3,2532.850156
4,2449.07375
5,2380.320676
6,2312.423068
7,2243.858458
8,2160.666742
9,2085.884106
10,2017.43969
11,1961.820291
12,1911.40136
13,1862.365129
14,1813.993611
15,1765.928329
16,1714.816184
17,1664.673214
18,1615.050336
19,1568.709194
20,1523.094916
21,1477.465991
22,1434.097517
23,1393.532585
24,1354.439649
25,1317.241367
26,1277.767867
27,1244.185093
28,1214.326482
29,1185.712374
30,1160.143858
31,1135.647621
32,1112.09145
33,1088.682072
34,1064.952931
35,1041.178946
36,1016.977261
37,992.0221043
38,965.4618698
39,936.4647852
40,901.9108513
41,863.619
42,822.513
43,784.560735
44,745.985
45,716.6203353
46,688.7403346
47,668.1285256
48,650.117
49,631.698
50,612.421
51,590.871138
52,569.1155748
53,549.9532007
54,530.9745369
55,512.7865945
56,495.9521116
57,478.6450302
58,460.797
59,442.564
60,423.776
61,404.388
62,384.33
63,363.1103047
64,341.6436615
65,318.0111062
66,288.8058806
67,259.4753996
68,234.2553
69,204.3729754
70,184.46248
71,165.3573218
72,150.7292262
73,139.3892627
74,129.8682843
75,121.550386
76,113.067711
77,103.610069
78,92.950692
79,82.3093098
80,73.5318431
81,63.23329652
82,50.0225013
83,41.83677703
84,34.0774008
85,26.88146
86,20.17486327
87,14.35595923
88,10.26862837
89,6.88292
90,4.64192
91,2.72087
92,0
