datetime,Year,Month,Day,hour,k_down,L_down
7/1/2010 1:00,2010,7,1,1,0,217
7/1/2010 2:00,2010,7,1,2,0,217
7/1/2010 3:00,2010,7,1,3,0,215
7/1/2010 4:00,2010,7,1,4,0,223
7/1/2010 5:00,2010,7,1,5,1,244
7/1/2010 6:00,2010,7,1,6,0,226
7/1/2010 7:00,2010,7,1,7,68,230
7/1/2010 8:00,2010,7,1,8,252,229
7/1/2010 9:00,2010,7,1,9,432,224
7/1/2010 10:00,2010,7,1,10,549,224
7/1/2010 11:00,2010,7,1,11,616,236
7/1/2010 12:00,2010,7,1,12,741,232
7/1/2010 13:00,2010,7,1,13,748,235
7/1/2010 14:00,2010,7,1,14,666,236
7/1/2010 15:00,2010,7,1,15,423,244
7/1/2010 16:00,2010,7,1,16,309,244
7/1/2010 17:00,2010,7,1,17,134,245
7/1/2010 18:00,2010,7,1,18,10,236
7/1/2010 19:00,2010,7,1,19,0,222
7/1/2010 20:00,2010,7,1,20,0,219
7/1/2010 21:00,2010,7,1,21,0,217
7/1/2010 22:00,2010,7,1,22,0,216
7/1/2010 23:00,2010,7,1,23,0,215
7/2/2010 0:00,2010,7,2,0,0,211
7/2/2010 1:00,2010,7,2,1,0,212
7/2/2010 2:00,2010,7,2,2,0,212
7/2/2010 3:00,2010,7,2,3,0,211
7/2/2010 4:00,2010,7,2,4,1,211
7/2/2010 5:00,2010,7,2,5,0,178
7/2/2010 6:00,2010,7,2,6,0,178
7/2/2010 7:00,2010,7,2,7,97,179
7/2/2010 8:00,2010,7,2,8,316,181
7/2/2010 9:00,2010,7,2,9,419,219
7/2/2010 10:00,2010,7,2,10,568,222
7/2/2010 11:00,2010,7,2,11,721,225
7/2/2010 12:00,2010,7,2,12,751,229
7/2/2010 13:00,2010,7,2,13,735,232
7/2/2010 14:00,2010,7,2,14,664,235
7/2/2010 15:00,2010,7,2,15,513,238
7/2/2010 16:00,2010,7,2,16,291,248
7/2/2010 17:00,2010,7,2,17,104,254
7/2/2010 18:00,2010,7,2,18,13,242
7/2/2010 19:00,2010,7,2,19,0,233
7/2/2010 20:00,2010,7,2,20,0,224
7/2/2010 21:00,2010,7,2,21,0,221
7/2/2010 22:00,2010,7,2,22,0,220
7/2/2010 23:00,2010,7,2,23,0,217
7/3/2010 0:00,2010,7,3,0,0,183
7/3/2010 1:00,2010,7,3,1,0,184
7/3/2010 2:00,2010,7,3,2,0,190
7/3/2010 3:00,2010,7,3,3,0,195
7/3/2010 4:00,2010,7,3,4,0,192
7/3/2010 5:00,2010,7,3,5,0,192
7/3/2010 6:00,2010,7,3,6,0,188
7/3/2010 7:00,2010,7,3,7,43,190
7/3/2010 8:00,2010,7,3,8,217,188
7/3/2010 9:00,2010,7,3,9,465,187
7/3/2010 10:00,2010,7,3,10,500,229
7/3/2010 11:00,2010,7,3,11,660,234
7/3/2010 12:00,2010,7,3,12,704,249
7/3/2010 13:00,2010,7,3,13,757,249
7/3/2010 14:00,2010,7,3,14,652,236
7/3/2010 15:00,2010,7,3,15,473,245
7/3/2010 16:00,2010,7,3,16,309,248
7/3/2010 17:00,2010,7,3,17,119,248
7/3/2010 18:00,2010,7,3,18,6,246
7/3/2010 19:00,2010,7,3,19,0,247
7/3/2010 20:00,2010,7,3,20,0,211
7/3/2010 21:00,2010,7,3,21,0,203
7/3/2010 22:00,2010,7,3,22,0,195
7/3/2010 23:00,2010,7,3,23,0,189
7/4/2010 0:00,2010,7,4,0,0,190
7/4/2010 1:00,2010,7,4,1,0,222
7/4/2010 2:00,2010,7,4,2,0,224
7/4/2010 3:00,2010,7,4,3,0,217
7/4/2010 4:00,2010,7,4,4,0,218
7/4/2010 5:00,2010,7,4,5,0,207
