,Year,0,1,2,3,4,5,6,7,8,Month,Day
0,2015,3.3762794520547947,3.38784,3.431884109589041,3.478827123287671,3.4970219178082194,3.5287808219178087,3.4501794520547944,3.4641013698630134,3.4972249315068495,6.526027397260274,15.72054794520548
1,2016,3.383191506849315,3.3966810958904112,3.43638,3.33568904109589,3.35369397260274,3.3706909589041096,3.5170605479452055,3.5208408219178082,3.5593726027397263,6.526027397260274,15.72054794520548
2,2017,3.3998945205479454,3.4391728767123286,3.4731553424657537,3.412564383561644,3.4251687671232878,3.464135890410959,3.452309589041096,3.459834794520548,3.4854646575342465,6.526027397260274,15.72054794520548
3,2018,3.465996712328767,3.470747123287671,3.5175810958904106,3.266749863013699,3.276331232876712,3.3075482191780825,3.2972210958904107,3.3121030136986302,3.342771506849315,6.526027397260274,15.72054794520548
4,2019,3.4050780821917805,3.417035616438356,3.4709232876712326,3.4668794520547945,3.470317534246575,3.516112054794521,3.3978857534246574,3.4015945205479454,3.4274567123287674,6.526027397260274,15.72054794520548
5,2020,3.3545416438356166,3.372864109589041,3.4204786301369863,3.5508035616438356,3.554791780821918,3.5978394520547945,3.5360775342465756,3.5465339726027394,3.59732301369863,6.526027397260274,15.72054794520548
6,2021,3.4629265753424656,3.4720495890410956,3.5018608219178082,3.4185545205479455,3.421479452054794,3.4416876712328763,3.372347123287671,3.377677260273973,3.4044690410958904,6.526027397260274,15.72054794520548
7,2022,3.5362865753424657,3.554614520547945,3.599782739726027,3.4557668493150686,3.4627550684931507,3.4923635616438355,3.40543397260274,3.4192750684931505,3.4691246575342465,6.526027397260274,15.72054794520548
8,2023,3.401130410958904,3.426839726027397,3.47157698630137,3.4420643835616436,3.440846575342466,3.486370684931507,3.4342394520547943,3.4502139726027394,3.4868123287671233,6.526027397260274,15.72054794520548
9,2024,3.415743287671233,3.4271632876712332,3.4569983561643833,3.460011506849315,3.4608054794520546,3.513278904109589,3.464685479452055,3.478775616438356,3.516886575342466,6.526027397260274,15.72054794520548
10,2025,3.544570684931507,3.5798372602739725,3.619056164383562,3.3137260273972604,3.3217134246575344,3.3538479452054797,3.414359452054794,3.4201375342465754,3.4549323287671236,6.526027397260274,15.72054794520548
11,2026,3.3968912328767122,3.4177016438356165,3.457813698630137,3.3240284931506854,3.335229589041096,3.361763287671233,3.440526575342466,3.4397531506849317,3.48306602739726,6.526027397260274,15.72054794520548
12,2027,3.4159542465753425,3.4517715068493153,3.4803523287671236,3.6093273972602744,3.635696438356164,3.6676534246575345,3.4645912328767126,3.4691873972602743,3.5120526027397263,6.526027397260274,15.72054794520548
