,0,1,2,3,4,5,6,7,8
0,10.133,9.8619,10.2432,10.5923,10.328,10.772,11.7613,11.0725,11.5691
1,10.086,9.8373,10.2061,10.4957,10.2408,10.6541,12.054,11.1578,11.6802
2,10.1709,9.9188,10.3057,10.5185,10.2601,10.6833,12.0283,11.2114,11.7567
3,10.2928,9.9997,10.4918,10.5268,10.2232,10.7261,11.9492,11.1185,11.756
4,10.2925,9.9921,10.4711,11.0136,10.6942,11.2151,11.8163,11.0042,11.6645
5,10.45,10.1411,10.5772,11.4053,11.0615,11.5509,11.628,10.8591,11.4764
6,10.3369,10.0914,10.553,11.2052,10.9645,11.4973,11.4395,10.7544,11.3628
7,10.2849,10.1069,10.5311,11.0128,10.832,11.3334,11.3372,10.7848,11.3378
8,10.5719,10.5661,10.7847,10.8676,10.7349,11.1587,11.2711,10.8195,11.2822
9,10.674,10.7226,10.8543,10.9436,10.9729,11.2573,11.052,10.6543,11.081
10,11.0155,10.9827,11.2252,11.0695,11.0597,11.3634,10.8395,10.5128,10.8901
11,11.0089,10.988,11.2229,11.0864,11.0789,11.3638,10.7326,10.4621,10.7921
12,11.1505,11.3066,11.3342,11.4408,11.6602,11.666,10.6341,10.4117,10.6858
13,11.1222,11.3113,11.325,11.4041,11.6517,11.6517,10.536,10.3748,10.6164
14,10.9358,11.0313,11.1116,11.2011,11.3362,11.4305,10.3791,10.2091,10.4482
15,10.853,10.8593,10.9853,11.5366,11.5437,11.7203,10.5243,10.2936,10.5533
16,10.7727,10.7158,10.8531,11.3657,11.3357,11.4954,10.7103,10.4248,10.6435
17,10.7012,10.6126,10.753,11.2546,11.2147,11.3803,10.578,10.3188,10.5401
18,10.6386,10.5314,10.7445,11.1713,11.1075,11.3531,10.5457,10.2847,10.5996
19,10.7772,10.7095,10.9482,11.6673,11.6798,11.9039,10.46,10.2285,10.526
20,10.9795,10.7945,11.0795,12.0986,11.8714,12.2031,10.4778,10.2067,10.5276
21,10.8998,10.7133,11.0293,12.0812,11.8609,12.3188,10.4668,10.1968,10.5564
22,11.3187,11.2166,11.5479,12.0978,11.9713,12.3876,10.4643,10.2238,10.5791
23,11.2359,11.2132,11.4735,11.9252,11.8834,12.2224,10.4884,10.355,10.6364
24,11.0861,11.1191,11.369,11.931,11.9789,12.3112,10.467,10.4089,10.691
25,10.8938,10.9249,11.1858,12.1221,12.2086,12.5355,10.2923,10.2077,10.5037
26,10.7669,10.8013,11.058,12.0974,12.1952,12.5133,10.1519,10.0777,10.3688
27,11.0152,11.0452,11.3753,12.0243,12.1002,12.4401,10.2338,10.1626,10.491
28,10.9347,10.9595,11.2302,12.166,12.2586,12.5039,10.2885,10.2407,10.4949
29,10.7603,10.7783,11.0347,11.9825,12.0518,12.3258,10.3495,10.2924,10.5544
30,10.5793,10.5774,10.8485,11.9996,12.0215,12.3327,10.3049,10.2325,10.512
31,10.4066,10.3924,10.6638,12.0813,12.1038,12.3827,10.2355,10.1599,10.4422
32,10.5324,10.4953,10.7352,11.899,11.9081,12.183,10.2073,10.1175,10.3875
33,11.0074,10.8965,11.0965,11.9667,11.9178,12.1851,10.3172,10.1764,10.4401
34,11.0132,10.9592,11.2409,11.9178,11.8902,12.2101,10.311,10.1884,10.4899
35,10.9546,10.913,11.2318,11.8832,11.8415,12.1813,10.3141,10.1901,10.5121
36,11.1641,11.0085,11.4456,11.8271,11.7453,12.1195,10.324,10.1659,10.5226
37,11.3417,11.0801,11.5663,11.8322,11.6869,12.0951,10.3849,10.1784,10.5606
38,11.6492,11.3273,11.862,11.7143,11.5465,11.9462,10.3451,10.1258,10.4987
39,11.8301,11.4682,12.0414,11.627,11.4215,11.8238,10.3601,10.1175,10.4954
40,11.6651,11.3466,11.8453,11.7747,11.5605,11.9094,10.3002,10.0671,10.4106
41,11.4458,11.1889,11.6667,11.5918,11.4094,11.7884,10.2521,10.0633,10.4285
42,11.3356,11.1047,11.6245,11.4862,11.3135,11.7256,10.2733,10.084,10.4973
43,11.3262,11.0917,11.6618,11.4744,11.2879,11.7454,10.2788,10.0858,10.5316
44,11.4184,11.1956,11.6994,11.4293,11.2474,11.6663,10.3421,10.1526,10.5486
45,11.291,11.1062,11.5974,11.382,11.2412,11.6504,10.3654,10.2221,10.6133
46,11.052,10.9476,11.4183,11.3022,11.2248,11.6191,10.278,10.1924,10.5763
47,10.8444,10.7975,11.2357,11.2531,11.1725,11.5519,10.1349,10.044,10.4093
48,10.7454,10.718,11.0906,11.3233,11.2878,11.5643,10.1092,10.0502,10.3282
49,10.5996,10.5609,10.9027,11.3773,11.2959,11.5951,10.1215,10.034,10.3093
50,10.47,10.4084,10.7308,11.4586,11.3628,11.6844,10.3768,10.227,10.5393
51,10.3703,10.2973,10.6195,11.5962,11.4794,11.8697,10.8195,10.6308,11.104
52,10.4367,10.2596,10.5906,11.9481,11.6189,12.001,11.5593,11.0708,11.5484
