Year,0,1,2,3,4,5,6,7,8,mean,minus,plus
2015,9.309804384,9.201472603,9.406461918,10.41026219,10.29345342,10.51825753,9.619073151,9.476889589,9.714669589,9.772260487,9.443751259,9.772260487
2016,9.370127123,9.265450411,9.467043562,9.211045205,9.054906849,9.322453151,10.04914548,9.922624384,10.15481973,9.535290654,9.273569976,9.535290654
2017,8.945374247,8.804093151,9.037490685,9.355337808,9.228183562,9.467079452,8.940806027,8.804074521,9.021712877,9.067128037,8.913724151,9.067128037
2018,9.079777534,8.951797808,9.156405753,10.24917534,10.11377479,10.35574521,8.567730411,8.439745205,8.680075342,9.288247489,8.796764632,9.288247489
2019,9.511130959,9.355604932,9.596575342,9.007499178,8.872374247,9.121787397,9.148570959,9.03949863,9.258193425,9.212359452,9.055831875,9.212359452
2020,8.986503014,8.864897534,9.081435342,9.17535863,9.055327397,9.287579452,9.942918356,9.810340548,10.05497644,9.362148524,9.068159515,9.362148524
2021,9.097756712,8.969785205,9.218896164,10.40808986,10.29955671,10.52548,10.37353534,10.26697644,10.5097211,9.963310837,9.532637815,9.963310837
2022,9.343990411,9.198561918,9.429732329,9.69746,9.53615589,9.771801918,9.565050959,9.445861644,9.663370959,9.516887336,9.397846198,9.516887336
2023,9.846348767,9.699606301,9.940705479,10.3970137,10.25410904,10.47489342,9.999676986,9.856148219,10.0902126,10.06207939,9.889346764,10.06207939
2024,10.41574877,10.26070575,10.50103014,9.973281644,9.851055342,10.06847397,10.66697342,10.56664301,10.76443918,10.34092791,10.13129786,10.34092791
2025,9.586953699,9.453030137,9.687153699,9.431559452,9.292584384,9.528887397,9.485830685,9.362619178,9.575008767,9.489291933,9.410282564,9.489291933
2026,9.247924932,9.094912329,9.362141096,9.862939726,9.694433973,9.94546137,9.0809,8.94732411,9.185286849,9.380147154,9.14172223,9.380147154
2027,9.68964137,9.52206274,9.768934521,10.41235726,10.29753616,10.53579534,10.21553507,10.10252986,10.34998082,10.09937479,9.866738631,10.09937479
2028,10.36432603,10.23550466,10.4572326,10.57507151,10.43955808,10.69562712,9.062974247,8.939094247,9.193329315,9.995857534,9.530485041,9.995857534
2029,9.750223836,9.60996411,9.831595342,9.443126027,9.326435616,9.549435068,9.1607,9.028613151,9.235216986,9.437256682,9.259463202,9.437256682
2030,10.37663178,10.30287616,10.49882438,9.825176712,9.71110274,9.955708767,10.44501534,10.31208027,10.52870712,10.21734703,10.01754868,10.21734703
2031,9.628989589,9.518013699,9.725136986,10.17955808,10.03010904,10.26755342,9.467301096,9.335947671,9.567745479,9.746706119,9.52948302,9.746706119
2032,9.260988219,9.161993425,9.370150685,10.31908466,10.17925205,10.40800219,9.445120548,9.292612603,9.531213973,9.663157595,9.340407691,9.663157595
2033,9.844991781,9.726808219,9.952502192,9.716960822,9.575656986,9.828410685,10.95646192,10.82445425,11.05066603,10.16410143,9.774387031,10.16410143
2034,10.85475205,10.74416493,10.96394658,10.00699342,9.871566027,10.10248329,9.806474247,9.675290685,9.905133425,10.21453385,9.889651172,10.21453385
2035,9.724147671,9.579750685,9.801157534,10.15441699,10.03929644,10.25274959,9.676367671,9.573526575,9.803291781,9.844967215,9.683194544,9.844967215
2036,10.33340849,10.21176822,10.44270658,9.674785479,9.54528,9.772149589,10.31126548,10.18420219,10.41459123,10.09890636,9.876020953,10.09890636
2037,10.47979589,10.35480767,10.57439151,9.710721918,9.580835342,9.801230685,10.08566329,9.934443288,10.16251671,10.07604514,9.848445627,10.07604514
2038,10.75577342,10.62602904,10.85156274,10.55041562,10.40744356,10.66679808,10.36812274,10.22185068,10.45230521,10.5444779,10.41319066,10.5444779
2039,10.03958493,9.912386027,10.13312575,10.60861507,10.49884137,10.72831726,10.2070789,10.0765611,10.31842219,10.28032584,10.09851351,10.28032584
2040,9.868986849,9.734349863,9.936592877,11.14195945,10.99894438,11.26578247,10.0598389,9.936054521,10.16613233,10.34540463,9.948175865,10.34540463
2041,11.23042521,11.09522712,11.33712,10.00732411,9.88619589,10.10782274,11.46942384,11.34172164,11.57299233,10.89425032,10.44620305,10.89425032
2042,10.11637452,9.99347726,10.23120082,10.47876904,10.37792795,10.59895753,10.36168904,10.24308274,10.46928795,10.31897409,10.19409784,10.31897409
2043,10.44092767,10.33171288,10.53866219,11.21419288,11.11492438,11.34765205,10.82404384,10.68776411,10.94045205,10.82670356,10.59414696,10.82670356
2044,11.0245937,10.90309315,11.1023589,11.00217753,10.86679397,11.09529562,11.03747753,10.90731507,11.13917726,11.00869808,10.94502546,11.00869808
